lon,lat,date
-117.8894444,34.09,1/23/2000
-117.4341667,34.0922222,1/23/2000
-118.9711111,37.6486111,1/24/2000
-121.6958333,47.8569444,1/25/2000
-92.3736111,41.0041667,1/26/2000
-118.0058333,33.7591667,1/26/2000
-122.3308333,47.6063889,1/26/2000
-82.4252778,27.5872222,1/26/2000
-95.9375,41.2586111,1/26/2000
-117.8894444,34.09,1/27/2000
-120.6602778,47.5963889,1/27/2000
-86.7647222,40.7452778,1/27/2000
-122.4577778,45.4177778,1/28/2000
-122.8025,45.4872222,1/28/2000
-122.7,38.3397222,1/28/2000
-112.315,34.61,1/28/2000
-117.7066667,33.5225,1/28/2000
-122.3205556,47.4538889,1/29/2000
-122.8025,45.4872222,1/29/2000
-80.3330556,41.1222222,1/30/2000
-122.4183333,37.775,1/30/2000
-80.605,28.4055556,1/31/2000
-117.0855556,33.1191667,1/31/2000
-87.5497222,34.0469444,2/1/2000
-123.0583333,43.7977778,2/1/2000
-95.3630556,29.7630556,2/1/2000
-74.0063889,40.7141667,2/1/2000
-91.9444444,47.7086111,2/1/2000
-111.6505556,35.1980556,2/1/2000
-104.9841667,39.7391667,2/2/2000
-73.6391667,40.8305556,2/2/2000
-119.9016667,46.7380556,2/2/2000
-122.3308333,47.6063889,2/2/2000
-114.005,33.9325,2/2/2000
-122.3308333,47.6063889,2/2/2000
-122.3308333,47.6063889,2/2/2000
-122.2336111,47.3811111,2/2/2000
-122.3308333,47.6063889,2/2/2000
-113.2038889,34.5811111,2/2/2000
-122.9063889,46.2752778,2/3/2000
-80.1758333,33.0183333,2/3/2000
-79.3713889,34.4163889,2/3/2000
-82.5927778,28.9022222,2/3/2000
-118.0569444,34.1072222,2/3/2000
-78.4747222,36.0247222,2/4/2000
-122.8994444,47.0380556,2/4/2000
-95.3630556,29.7630556,2/4/2000
-112.4677778,34.54,2/4/2000
-112.315,34.61,2/4/2000
-112.315,34.61,2/4/2000
-86.0758333,41.665,2/4/2000
-97.0816667,32.8369444,2/4/2000
-120.5855556,38.7613889,2/5/2000
-81.8363889,38.3855556,2/6/2000
-115.1363889,36.175,2/6/2000
-91.2394444,43.8013889,2/6/2000
-90.1841667,38.8905556,2/7/2000
-114.5675,35.1477778,2/7/2000
-81.4411111,27.4952778,2/7/2000
-109.8269444,32.8961111,2/7/2000
-85.0711111,42.9872222,2/7/2000
-112.315,34.61,2/8/2000
-119.2922222,34.2783333,2/8/2000
-71.1452778,42.1583333,2/8/2000
-81.5063889,27.5955556,2/8/2000
-118.3780556,34.1722222,2/8/2000
-118.2541667,34.1425,2/8/2000
-122.3308333,47.6063889,2/8/2000
-98.4933333,29.4238889,2/8/2000
-73.2136111,41.4813889,2/8/2000
-92.3338889,38.9516667,2/9/2000
-73.0794444,44.1333333,2/9/2000
-118.2533333,47.4811111,2/9/2000
-73.3297222,40.7616667,2/9/2000
-110.9258333,32.2216667,2/9/2000
-92.3338889,38.9516667,2/9/2000
-98.6786111,32.4697222,2/9/2000
-122.8455556,46.44,2/9/2000
-117.7805556,48.9161111,2/9/2000
-117.3263889,33.6680556,2/9/2000
-122.3308333,47.6063889,2/9/2000
-112.315,34.61,2/9/2000
-122.2075,47.6816667,2/10/2000
-81.7152778,27.8713889,2/10/2000
-110.9258333,32.2216667,2/11/2000
-89.0938889,42.2711111,2/11/2000
-89.0938889,42.2711111,2/11/2000
-89.0938889,42.2711111,2/11/2000
-95.3630556,29.7630556,2/11/2000
-80.1436111,26.1219444,2/12/2000
-89.0938889,42.2711111,2/12/2000
-123.0338889,44.9430556,2/13/2000
-116.5522222,48.2766667,2/13/2000
-84.4013889,42.2458333,2/14/2000
-92.1738889,33.4463889,2/14/2000
-77.7908333,35.9380556,2/15/2000
-157.8583333,21.3069444,2/15/2000
-111.8983333,33.5091667,2/15/2000
-92.6883333,46.5030556,2/15/2000
-92.2894444,34.7463889,2/15/2000
-73.4952778,41.1466667,2/15/2000
-82.5408333,40.4811111,2/15/2000
-122.8066667,45.1825,2/15/2000
-112.15,34.0708333,2/16/2000
-95.0136111,41.4036111,2/16/2000
-84.1191667,34.4211111,2/16/2000
-117.3952778,33.9533333,2/16/2000
-122.3308333,47.6063889,2/16/2000
-89.0938889,42.2711111,2/16/2000
-89.0938889,42.2711111,2/16/2000
-89.0938889,42.2711111,2/16/2000
-89.0938889,42.2711111,2/16/2000
-89.0938889,42.2711111,2/16/2000
-89.0938889,42.2711111,2/16/2000
-89.0938889,42.2711111,2/16/2000
-89.0938889,42.2711111,2/16/2000
-89.0938889,42.2711111,2/16/2000
-94.6316667,30.6283333,2/16/2000
-86.4830556,41.4666667,2/16/2000
-89.0938889,42.2711111,2/16/2000
-122.2272222,47.3075,2/17/2000
-89.0938889,42.2711111,2/17/2000
-89.7708333,43.6275,2/17/2000
-74.9925,39.7841667,2/17/2000
-118.1436111,34.1477778,2/18/2000
-112.315,34.61,2/18/2000
-81.6558333,30.3319444,2/18/2000
-91.9591667,33.9627778,2/18/2000
-105.1680556,39.9527778,2/19/2000
-80.1938889,25.7738889,2/19/2000
-83.8286111,39.4452778,2/19/2000
-122.3205556,47.4538889,2/19/2000
-120.8488889,37.0583333,2/19/2000
-94.6316667,30.6283333,2/19/2000
-122.4430556,47.2530556,2/19/2000
-119.1994444,48.9811111,2/19/2000
-82.1013889,39.3291667,2/20/2000
-81.3794444,28.5380556,2/20/2000
-88.7880556,44.8530556,2/20/2000
-123.0583333,43.7977778,2/20/2000
-121.2713889,38.1302778,2/21/2000
-123.2608333,44.5647222,2/21/2000
-121.7805556,42.225,2/21/2000
-87.8538889,41.6302778,2/21/2000
-88.7033333,34.2575,2/21/2000
-122.1363889,37.3797222,2/21/2000
-112.315,34.61,2/22/2000
-112.315,34.61,2/22/2000
-112.315,34.61,2/22/2000
-111.9730556,41.2230556,2/22/2000
-151.2583333,60.5544444,2/23/2000
-117.67,35.6225,2/23/2000
-82.72,32.7291667,2/23/2000
-86.5861111,34.7302778,2/24/2000
-82.9402778,30.0380556,2/24/2000
-84.2808333,30.4380556,2/24/2000
-118.3258333,34.0983333,2/24/2000
-84.1988889,39.8905556,2/26/2000
-78.8805556,43.0202778,2/26/2000
