0,1,date
-118.2427778,34.0522222,2000-01-01
-117.1563889,32.7152778,2000-01-01
-119.7019444,36.8252778,2000-01-01
-122.4183333,37.775,2000-01-01
-87.9019444,42.3702778,2000-01-01
-89.0952778,38.7552778,2000-01-01
-87.5558333,37.9747222,2000-01-01
-92.0358333,29.9580556,2000-01-01
-74.0063889,40.7141667,2000-01-01
-83.7597222,40.3611111,2000-01-01
-122.8744444,42.3266667,2000-01-01
-95.3630556,29.7630556,2000-01-01
-95.3630556,29.7630556,2000-01-01
-111.8219444,33.4222222,2000-01-02
-117.2130556,33.5538889,2000-01-02
-121.5552778,39.5138889,2000-01-02
-118.3955556,34.1486111,2000-01-02
-117.7763889,33.8444444,2000-01-02
-117.1816667,34.0555556,2000-01-02
-117.1475,33.4936111,2000-01-02
-116.9105556,34.2438889,2000-01-02
-116.3091667,33.6633333,2000-01-02
-119.555,36.7080556,2000-01-02
-117.7188889,34.0966667,2000-01-02
-117.2416667,33.2,2000-01-02
-118.0519444,34.1616667,2000-01-02
-117.8252778,33.7458333,2000-01-02
-118.1494444,34.1161111,2000-01-02
-81.6558333,30.3319444,2000-01-02
-119.1361111,46.2113889,2000-01-02
-115.5622222,32.7919444,2000-01-03
-119.8127778,39.5297222,2000-01-03
-83.6094444,38.6880556,2000-01-03
-89.0569444,36.4241667,2000-01-03
-111.8983333,33.5091667,2000-01-04
-90.2102778,38.5161111,2000-01-04
-91.0083333,38.45,2000-01-04
-75.7388889,41.3438889,2000-01-04
-99.4261111,31.8272222,2000-01-04
-116.8672222,33.0416667,2000-01-05
-83.4722222,32.2836111,2000-01-05
-90.0255556,38.6366667,2000-01-05
-89.9530556,38.8113889,2000-01-05
-88.1988889,42.3286111,2000-01-05
-71.0666667,42.2494444,2000-01-05
-90.3225,38.7891667,2000-01-05
-90.3225,38.7891667,2000-01-05
-90.1977778,38.6272222,2000-01-05
-75.6211111,40.0288889,2000-01-05
-122.4183333,37.775,2000-01-06
-84.6344444,33.8125,2000-01-06
-96.8305556,39.2988889,2000-01-06
-76.7280556,39.9625,2000-01-06
-117.425,47.6588889,2000-01-06
-86.3,32.3666667,2000-01-07
-121.28,38.7072222,2000-01-07
-121.0047222,40.3061111,2000-01-07
-90.5786111,41.5094444,2000-01-07
-85.6325,41.9438889,2000-01-07
-115.1363889,36.175,2000-01-07
-122.2925,47.2502778,2000-01-07
-81.3633333,28.6275,2000-01-08
-81.3633333,28.6275,2000-01-08
-83.9208333,35.9605556,2000-01-08
-118.2427778,34.0522222,2000-01-09
-108.55,39.0638889,2000-01-09
-81.3916667,32.3361111,2000-01-09
-70.7747222,43.4391667,2000-01-09
-117.1563889,32.7152778,2000-01-10
-96.3541667,36.1333333,2000-01-10
-80.0852778,42.1291667,2000-01-10
-86.7827778,36.0330556,2000-01-10
-83.5619444,35.8680556,2000-01-10
-95.4558333,30.3116667,2000-01-10
-117.1563889,32.7152778,2000-01-11
-104.9841667,39.7391667,2000-01-11
-87.8819444,41.8505556,2000-01-11
-99.7458333,38.6402778,2000-01-11
